gen,best_fitness_val,T1_test,T2_test,T3_test,T4_test,T5_test,T6_test,elapsed_s
0,79.34,52.53,66.89,61.94,72.9,68.78,73.01,3.1
1,78.23,76.35,68.61,58.65,49.03,69.0,64.39,2.9
2,84.6,64.16,84.14,78.19,63.38,82.69,73.18,3.3
FINAL,82.47,70.4,66.11,82.75,52.2,75.29,82.47,12.2
