,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,170,0,0,0,0,6,0,0,2,0
True_1,0,130,17,2,0,2,0,0,31,0
True_2,0,2,173,2,0,0,0,0,0,0
True_3,0,0,4,172,0,1,0,1,5,0
True_4,2,23,0,0,150,0,0,1,5,0
True_5,0,0,0,4,0,173,2,0,3,0
True_6,0,2,0,1,0,0,130,0,48,0
True_7,0,0,0,1,1,5,0,140,32,0
True_8,0,6,2,76,0,1,0,0,89,0
True_9,2,3,0,135,2,3,0,0,35,0
