# Matriz Triangular — fw² — w + fw¹ + fw² (extensión propuesta)
# mean=72.10% std=7.77%
Sesion,B1,B2,B3,B4,B5,B6
T1,75.10,,,,,
T2,69.80,74.70,,,,
T3,74.40,78.20,79.30,,,
T4,78.00,77.70,78.60,83.70,,
T5,75.00,74.20,75.40,75.00,76.40,
T6,76.20,75.10,74.90,76.00,78.10,80.50
Test,68.70,68.39,72.93,75.03,70.90,72.10
mean_acc,72.1
std_acc,7.77
