gen,best_fitness_val,T1_test,T2_test,T3_test,T4_test,T5_test,T6_test,elapsed_s
0,52.74,37.85,51.1,52.42,39.54,58.8,53.2,50.7
1,56.37,32.23,43.02,41.51,43.94,52.86,44.16,64.1
FINAL,45.9,58.16,32.25,43.03,51.4,37.29,45.9,178.0
