,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,173,0,0,0,2,2,1,0,0,0
True_1,0,126,13,6,0,8,0,5,14,10
True_2,0,3,89,81,0,3,0,0,1,0
True_3,0,0,2,179,0,0,0,1,0,1
True_4,8,27,2,0,126,3,0,4,6,5
True_5,1,0,2,38,0,126,1,0,0,14
True_6,0,4,0,10,1,6,157,0,2,1
True_7,0,0,1,17,0,9,0,138,7,7
True_8,0,6,5,58,0,21,1,0,82,1
True_9,1,0,0,87,0,10,0,0,0,82
